"id","serial_number","department_id","user_id","bld","ba","score","tray_area","food_pixel","mixed_food_pixel","scanned_at","created_at","updated_at","deleted_at","tantan_score"
111770,"1006400864200000B",269,17147,L,A,1.0,7750.5894,432.1666,0.0,"2024-11-26 12:17:41","2024-11-26 12:17:40","2024-11-26 12:17:40",,10.0
111773,"1006400864200000B",269,17184,L,A,1.0,7479.4863,1489.4187,0.0,"2024-11-26 12:18:59","2024-11-26 12:18:59","2024-11-26 12:18:59",,10.0
111779,"10064008642000011",269,16930,L,A,1.0,9005.375,0.0,0.0,"2024-11-26 12:21:20","2024-11-26 12:21:19","2024-11-26 12:21:19",,10.0
111791,"1006400864200000B",269,17154,L,A,1.0,7334.9087,1128.2759,0.0,"2024-11-26 12:22:45","2024-11-26 12:22:44","2024-11-26 12:22:44",,10.0
111800,"1006400864200000B",269,17177,L,A,1.0,7617.1074,165.48267,0.0,"2024-11-26 12:23:37","2024-11-26 12:23:37","2024-11-26 12:23:37",,10.0
111819,"1006400864200000B",269,17155,L,A,1.0,7446.7363,457.1858,0.0,"2024-11-26 12:24:30","2024-11-26 12:24:29","2024-11-26 12:24:29",,10.0
111828,"10064008642000011",269,16954,L,A,1.0,9494.061,992.5259,0.0,"2024-11-26 12:26:16","2024-11-26 12:25:23","2024-11-26 12:26:15",,10.0
111838,"10164000044A0002A",269,17146,L,A,1.0,7738.477,1818.4341,0.0,"2024-11-26 12:26:07","2024-11-26 12:26:07","2024-11-26 12:26:07",,10.0
111842,"10064008642000025",269,16939,L,A,1.0,9642.522,0.0,0.0,"2024-11-26 12:26:15","2024-11-26 12:26:15","2024-11-26 12:26:15",,10.0
111851,"1006400864200000B",269,17117,L,A,1.0,8186.7856,399.29855,0.0,"2024-11-26 12:26:45","2024-11-26 12:26:45","2024-11-26 12:26:45",,10.0
111855,"10164000044A0002A",269,17118,L,A,1.0,9099.1875,178.0461,0.0,"2024-11-26 12:27:09","2024-11-26 12:27:09","2024-11-26 12:27:09",,10.0
111864,"10164000044A0002A",269,17057,L,A,1.0,7804.9727,400.74487,0.0,"2024-11-26 12:27:40","2024-11-26 12:27:40","2024-11-26 12:27:40",,10.0
111868,"10164000044A0002A",269,17178,L,A,1.0,9362.493,513.99756,0.0,"2024-11-26 12:27:58","2024-11-26 12:27:58","2024-11-26 12:27:58",,10.0
111870,"10064008642000011",269,17000,L,A,1.0,9738.822,762.45483,0.0,"2024-11-26 12:28:05","2024-11-26 12:28:04","2024-11-26 12:28:04",,10.0
111885,"1006400864200000B",269,17126,L,A,1.0,7478.6343,1676.1697,0.0,"2024-11-26 12:29:35","2024-11-26 12:29:34","2024-11-26 12:29:34",,10.0
111891,"10064008642000011",269,16979,L,A,1.0,9839.8125,3713.7314,0.0,"2024-11-26 12:29:53","2024-11-26 12:29:52","2024-11-26 12:29:52",,10.0
111893,"1006400864200000B",269,17054,L,A,1.0,7477.4146,0.0,0.0,"2024-11-26 12:29:58","2024-11-26 12:29:58","2024-11-26 12:29:58",,10.0
111898,"1006400864200000B",269,17152,L,A,1.0,7492.799,1475.049,0.0,"2024-11-26 12:30:14","2024-11-26 12:30:13","2024-11-26 12:30:13",,10.0
111912,"10064008642000025",269,16871,L,A,1.0,9026.24,1401.7637,0.0,"2024-11-26 12:31:18","2024-11-26 12:31:19","2024-11-26 12:31:19",,10.0
111920,"1006400864200000B",269,17051,L,A,1.0,7392.966,1755.6547,0.0,"2024-11-26 12:31:54","2024-11-26 12:31:53","2024-11-26 12:31:53",,10.0
111930,"10064008642000011",269,16902,L,A,1.0,10128.651,693.1466,0.0,"2024-11-26 12:32:49","2024-11-26 12:32:49","2024-11-26 12:32:49",,10.0
111933,"1006400864200000B",269,17125,L,A,1.0,8350.39,551.39355,0.0,"2024-11-26 12:32:52","2024-11-26 12:32:51","2024-11-26 12:32:51",,10.0
111934,"10064008642000011",269,16914,L,A,1.0,10548.201,1924.548,0.0,"2024-11-26 12:33:04","2024-11-26 12:33:03","2024-11-26 12:33:03",,10.0
111939,"10064008642000011",269,16883,L,A,1.0,9846.693,1323.5239,0.0,"2024-11-26 12:33:40","2024-11-26 12:33:39","2024-11-26 12:33:39",,10.0
111942,"10064008642000025",269,16943,L,A,1.0,10099.96,0.0,0.0,"2024-11-26 12:33:52","2024-11-26 12:33:52","2024-11-26 12:33:52",,10.0
111944,"10064008642000025",269,16864,L,A,1.0,9045.812,446.79004,0.0,"2024-11-26 12:34:07","2024-11-26 12:34:07","2024-11-26 12:34:07",,10.0
111951,"10064008642000011",269,16899,L,A,1.0,9381.238,833.8577,0.0,"2024-11-26 12:34:34","2024-11-26 12:34:34","2024-11-26 12:34:34",,10.0
111956,"10164000044A0002A",269,17093,L,A,1.0,7365.597,0.0,0.0,"2024-11-26 12:34:44","2024-11-26 12:34:44","2024-11-26 12:34:44",,10.0
111965,"10064008642000025",269,16894,L,A,1.0,9251.202,795.8672,0.0,"2024-11-26 12:35:25","2024-11-26 12:35:26","2024-11-26 12:35:26",,10.0
111969,"10064008642000025",269,16896,L,A,1.0,11090.557,0.0,0.0,"2024-11-26 12:35:38","2024-11-26 12:35:38","2024-11-26 12:35:38",,10.0
111975,"1006400864200000B",269,17026,L,A,1.0,7051.0234,1108.8822,0.0,"2024-11-26 12:35:58","2024-11-26 12:35:57","2024-11-26 12:35:57",,10.0
111976,"10064008642000011",269,16941,L,A,1.0,9847.028,149.35071,0.0,"2024-11-26 12:36:00","2024-11-26 12:35:59","2024-11-26 12:35:59",,10.0
111981,"10064008642000011",269,16936,L,A,1.0,9330.636,354.49872,0.0,"2024-11-26 12:36:07","2024-11-26 12:36:06","2024-11-26 12:36:06",,10.0
111989,"10164000044A0002A",269,17106,L,A,1.0,8154.0044,1275.0312,0.0,"2024-11-26 12:36:28","2024-11-26 12:36:28","2024-11-26 12:36:28",,10.0
111993,"10064008642000011",269,16852,L,A,1.0,9482.62,2001.7577,0.0,"2024-11-26 12:36:39","2024-11-26 12:36:38","2024-11-26 12:36:38",,10.0
112001,"10064008642000011",269,16928,L,A,1.0,8436.111,1380.0283,0.0,"2024-11-26 12:37:01","2024-11-26 12:37:00","2024-11-26 12:37:00",,10.0
112006,"10064008642000011",269,16929,L,A,1.0,9409.053,463.75342,0.0,"2024-11-26 12:37:29","2024-11-26 12:37:28","2024-11-26 12:37:28",,10.0
112014,"1006400864200000B",269,17084,L,A,1.0,7713.6494,0.0,0.0,"2024-11-26 12:38:08","2024-11-26 12:38:07","2024-11-26 12:38:07",,10.0
112015,"10064008642000025",269,16931,L,A,1.0,9078.011,734.3612,0.0,"2024-11-26 12:38:08","2024-11-26 12:38:09","2024-11-26 12:38:09",,10.0
112022,"1006400864200000B",269,17025,L,A,1.0,7367.38,496.53174,0.0,"2024-11-26 12:38:25","2024-11-26 12:38:24","2024-11-26 12:38:24",,10.0
112036,"10064008642000011",269,16880,L,A,1.0,9047.683,935.65955,0.0,"2024-11-26 12:38:52","2024-11-26 12:38:52","2024-11-26 12:38:52",,10.0
112050,"1006400864200000B",269,17094,L,A,1.0,7341.315,1059.3379,0.0,"2024-11-26 12:39:55","2024-11-26 12:39:54","2024-11-26 12:39:54",,10.0
112052,"10064008642000011",269,16944,L,A,1.0,9631.802,0.0,0.0,"2024-11-26 12:40:20","2024-11-26 12:40:19","2024-11-26 12:40:19",,10.0
112077,"10064008642000025",269,16848,L,A,1.0,8835.619,1961.1616,0.0,"2024-11-26 12:42:35","2024-11-26 12:42:35","2024-11-26 12:42:35",,10.0
112080,"10064008642000011",269,16838,L,A,1.0,9431.333,1742.6462,0.0,"2024-11-26 12:42:50","2024-11-26 12:42:49","2024-11-26 12:42:49",,10.0
112226,"1006400864200000B",269,17615,L,A,1.0,7434.6885,990.94604,0.0,"2024-11-26 13:08:08","2024-11-26 13:08:07","2024-11-26 13:08:07",,10.0
112228,"10064008642000011",269,17655,L,A,1.0,8940.7295,1856.4702,0.0,"2024-11-26 13:08:17","2024-11-26 13:08:17","2024-11-26 13:08:17",,10.0
112239,"1006400864200000B",269,17628,L,A,1.0,7205.919,237.89523,0.0,"2024-11-26 13:09:07","2024-11-26 13:09:06","2024-11-26 13:09:06",,10.0
112254,"1006400864200000B",269,17616,L,A,1.0,7359.289,1112.5518,0.0,"2024-11-26 13:10:07","2024-11-26 13:10:06","2024-11-26 13:10:06",,10.0
112267,"10064008642000011",269,17664,L,A,1.0,9804.762,855.7654,0.0,"2024-11-26 13:10:52","2024-11-26 13:10:51","2024-11-26 13:10:51",,10.0
112281,"10064008642000011",269,17376,L,A,1.0,8988.605,3238.7793,0.0,"2024-11-26 13:12:03","2024-11-26 13:12:02","2024-11-26 13:12:02",,10.0
112284,"10064008642000011",269,17363,L,A,1.0,9221.044,1096.1687,0.0,"2024-11-26 13:12:41","2024-11-26 13:12:40","2024-11-26 13:12:40",,10.0
112285,"1006400864200000B",269,17614,L,A,1.0,7281.9717,292.2295,0.0,"2024-11-26 13:12:44","2024-11-26 13:12:43","2024-11-26 13:12:43",,10.0
112286,"10064008642000025",269,17352,L,A,1.0,8925.871,845.88104,0.0,"2024-11-26 13:12:44","2024-11-26 13:12:44","2024-11-26 13:12:44",,10.0
112288,"1006400864200000B",269,17346,L,A,1.0,7765.4043,635.3946,0.0,"2024-11-26 13:12:58","2024-11-26 13:12:57","2024-11-26 13:12:57",,10.0
112293,"1006400864200000B",269,17617,L,A,1.0,7440.2876,915.2975,0.0,"2024-11-26 13:13:12","2024-11-26 13:13:11","2024-11-26 13:13:11",,10.0
112327,"1006400864200000B",269,17630,L,A,1.0,7179.0146,214.78174,0.0,"2024-11-26 13:14:55","2024-11-26 13:14:54","2024-11-26 13:14:54",,10.0
112339,"1006400864200000B",269,17410,L,A,1.0,10895.571,1701.3934,0.0,"2024-11-26 13:15:37","2024-11-26 13:15:36","2024-11-26 13:15:36",,10.0
112341,"10064008642000025",269,17513,L,A,1.0,8944.175,823.2263,0.0,"2024-11-26 13:15:39","2024-11-26 13:15:39","2024-11-26 13:15:39",,10.0
112354,"10064008642000025",269,17450,L,A,1.0,8991.5,465.0155,0.0,"2024-11-26 13:16:44","2024-11-26 13:16:45","2024-11-26 13:16:45",,10.0
112360,"10164000044A0002A",269,17296,L,A,1.0,7612.041,1117.2263,0.0,"2024-11-26 13:17:08","2024-11-26 13:17:08","2024-11-26 13:17:08",,10.0
112361,"10064008642000011",269,17440,L,A,1.0,9199.219,466.7274,0.0,"2024-11-26 13:17:09","2024-11-26 13:17:08","2024-11-26 13:17:08",,10.0
112362,"1006400864200000B",269,17228,L,A,1.0,7875.2144,814.63275,0.0,"2024-11-26 13:17:10","2024-11-26 13:17:09","2024-11-26 13:17:09",,10.0
112369,"1006400864200000B",269,17631,L,A,1.0,8912.832,513.3695,0.0,"2024-11-26 13:17:41","2024-11-26 13:17:40","2024-11-26 13:17:40",,10.0
112375,"10164000044A0002A",269,17586,L,A,1.0,7938.574,1484.5529,0.0,"2024-11-26 13:18:18","2024-11-26 13:18:18","2024-11-26 13:18:18",,10.0
112381,"10164000044A0002A",269,17224,L,A,1.0,7370.6357,998.9283,0.0,"2024-11-26 13:18:53","2024-11-26 13:18:53","2024-11-26 13:18:53",,10.0
112383,"1006400864200000B",269,17594,L,A,1.0,8606.41,822.60187,0.0,"2024-11-26 13:19:03","2024-11-26 13:19:02","2024-11-26 13:19:02",,10.0
112407,"10064008642000011",269,17454,L,A,1.0,9554.881,199.82812,0.0,"2024-11-26 13:20:35","2024-11-26 13:20:34","2024-11-26 13:20:34",,10.0
112410,"10064008642000011",269,17208,L,A,1.0,9670.609,1679.3118,0.0,"2024-11-26 13:20:45","2024-11-26 13:20:44","2024-11-26 13:20:44",,10.0
112413,"10064008642000011",269,17448,L,A,1.0,9237.272,923.69006,0.0,"2024-11-26 13:20:53","2024-11-26 13:20:52","2024-11-26 13:20:52",,10.0
112418,"10064008642000011",269,17329,L,A,1.0,9452.041,1187.0358,0.0,"2024-11-26 13:21:05","2024-11-26 13:21:05","2024-11-26 13:21:05",,10.0
112420,"10064008642000011",269,17315,L,A,1.0,8693.217,2091.4243,0.0,"2024-11-26 13:21:15","2024-11-26 13:21:14","2024-11-26 13:21:14",,10.0
112424,"1006400864200000B",269,17606,L,A,1.0,7345.903,268.9545,0.0,"2024-11-26 13:21:19","2024-11-26 13:21:18","2024-11-26 13:21:18",,10.0
112427,"10064008642000011",269,17466,L,A,1.0,9131.16,0.0,0.0,"2024-11-26 13:21:34","2024-11-26 13:21:33","2024-11-26 13:21:33",,10.0
112438,"1006400864200000B",269,17599,L,A,1.0,9444.12,0.0,0.0,"2024-11-26 13:22:11","2024-11-26 13:22:10","2024-11-26 13:22:10",,10.0
112446,"10164000044A0002A",269,17236,L,A,1.0,2804.2522,0.0,0.0,"2024-11-26 13:22:33","2024-11-26 13:22:33","2024-11-26 13:22:33",,10.0
112457,"10064008642000011",269,17435,L,A,1.0,9383.691,256.4174,0.0,"2024-11-26 13:23:19","2024-11-26 13:23:18","2024-11-26 13:23:18",,10.0
112467,"10064008642000011",269,17453,L,A,1.0,9525.556,0.0,0.0,"2024-11-26 13:24:18","2024-11-26 13:24:18","2024-11-26 13:24:18",,10.0
112478,"10064008642000025",269,17499,L,A,1.0,9042.199,233.32422,0.0,"2024-11-26 13:25:09","2024-11-26 13:25:10","2024-11-26 13:25:10",,10.0
112482,"10064008642000011",269,17510,L,A,1.0,9312.048,170.65662,0.0,"2024-11-26 13:25:26","2024-11-26 13:25:26","2024-11-26 13:25:26",,10.0
112486,"1006400864200000B",269,17229,L,A,1.0,7727.0645,1171.9297,0.0,"2024-11-26 13:25:51","2024-11-26 13:25:50","2024-11-26 13:25:50",,10.0
112489,"1006400864200000B",269,17294,L,A,1.0,8335.976,91.32172,0.0,"2024-11-26 13:26:00","2024-11-26 13:25:59","2024-11-26 13:25:59",,10.0
112490,"10064008642000025",269,17203,L,A,1.0,9110.761,110.1543,0.0,"2024-11-26 13:27:44","2024-11-26 13:26:03","2024-11-26 13:27:44",,10.0
112492,"10164000044A0002A",269,17242,L,A,1.0,9015.196,813.7912,0.0,"2024-11-26 13:26:06","2024-11-26 13:26:06","2024-11-26 13:26:06",,10.0
112496,"10064008642000011",269,17330,L,A,1.0,9233.99,0.0,0.0,"2024-11-26 13:26:21","2024-11-26 13:26:20","2024-11-26 13:26:20",,10.0
112497,"1006400864200000B",269,17246,L,A,1.0,7997.831,1589.3717,0.0,"2024-11-26 13:26:22","2024-11-26 13:26:21","2024-11-26 13:26:21",,10.0
112510,"10064008642000011",269,17197,L,A,1.0,8817.129,1310.9294,0.0,"2024-11-26 13:26:59","2024-11-26 13:26:58","2024-11-26 13:26:58",,10.0
112521,"10064008642000011",269,17326,L,A,1.0,9482.744,966.11707,0.0,"2024-11-26 13:27:31","2024-11-26 13:27:30","2024-11-26 13:27:30",,10.0
112564,"10064008642000011",269,17266,L,A,1.0,12273.639,1929.7483,0.0,"2024-11-26 13:30:15","2024-11-26 13:30:14","2024-11-26 13:30:14",,10.0
112568,"10164000044A0002A",269,17225,L,A,1.0,7334.3584,1086.6539,0.0,"2024-11-26 13:30:40","2024-11-26 13:30:40","2024-11-26 13:30:40",,10.0
112574,"10064008642000011",269,17645,L,A,1.0,9624.201,180.57744,0.0,"2024-11-26 13:31:26","2024-11-26 13:31:26","2024-11-26 13:31:26",,10.0
112575,"10064008642000011",269,17210,L,A,1.0,13111.113,2226.895,0.0,"2024-11-26 13:31:36","2024-11-26 13:31:35","2024-11-26 13:31:35",,10.0
112580,"10064008642000011",269,17362,L,A,1.0,8986.658,0.0,0.0,"2024-11-26 13:32:36","2024-11-26 13:32:35","2024-11-26 13:32:35",,10.0
112581,"10164000044A0002A",269,17227,L,A,1.0,7423.872,1652.3646,0.0,"2024-11-26 13:32:43","2024-11-26 13:32:43","2024-11-26 13:32:43",,10.0
112593,"10064008642000025",269,17404,L,A,1.0,8716.641,1842.5962,0.0,"2024-11-26 13:37:02","2024-11-26 13:37:03","2024-11-26 13:37:03",,10.0
112594,"1006400864200000B",269,17413,L,A,1.0,8579.666,215.09277,0.0,"2024-11-26 13:37:26","2024-11-26 13:37:25","2024-11-26 13:37:25",,10.0
112597,"1006400864200000B",269,17411,L,A,1.0,7911.538,1455.8073,0.0,"2024-11-26 13:40:35","2024-11-26 13:40:34","2024-11-26 13:40:34",,10.0
112598,"10064008642000011",269,17356,L,A,1.0,9626.203,0.0,0.0,"2024-11-26 13:43:21","2024-11-26 13:43:20","2024-11-26 13:43:20",,10.0
